date;campaign;keyword;impressions;clicks;cost
16.10.2023;61815333;lk eduregion ru;12;6;120,48
18.10.2023;61815333;lk eduregion ru;10;5;250,35
19.10.2023;61815333;lk eduregion ru;7;5;254,75
04.10.2023;91399039;курсы логопеда;7;4;338,04
05.10.2023;61815333;lk eduregion ru;5;4;205,01
17.10.2023;61815333;lk eduregion ru;11;4;117,82
23.10.2023;61815333;lk eduregion ru;6;4;95,61
26.10.2023;61815333;lk eduregion ru личный кабинет;4;4;228,18
31.10.2023;61815333;lk eduregion ru;5;4;124,09
01.10.2023;88370062;обучение на логопеда;7;3;402,59
02.10.2023;91399039;курсы логопеда;10;3;848,26
03.10.2023;91399039;курсы логопеда;17;3;503,13
05.10.2023;91399039;курсы логопеда;8;3;306,19
06.10.2023;61815333;lk eduregion ru;5;3;130,61
11.10.2023;61815333;eduregion ru;3;3;393,93
11.10.2023;61815333;lk eduregion ru;5;3;199,67
11.10.2023;97238484;курсы логопеда;11;3;268,89
12.10.2023;61815333;eduregion;4;3;158,49
12.10.2023;97238484;курсы логопеда;5;3;556,21
13.10.2023;61815333;lk eduregion ru;5;3;117,29
16.10.2023;61815333;lk eduregion ru личный кабинет;4;3;109,89
17.10.2023;61815333;lk eduregion ru login;3;3;131,56
26.10.2023;61815333;lk eduregion ru;4;3;79,95
30.10.2023;61815333;eduregion ru личный кабинет;5;3;119,12
01.10.2023;61815333;lk eduregion ru;4;2;43,66
01.10.2023;91399039;курсы логопеда;9;2;170,08
01.10.2023;91399039;переобучение на логопеда;2;2;220,76
01.10.2023;91399044;переподготовка на логопеда;5;2;174,89
02.10.2023;61815333;lk eduregion ru;3;2;40,08
02.10.2023;61815333;lk eduregion ru личный кабинет;4;2;26,3
03.10.2023;61815333;http ik eduregion ru;5;2;188,59
03.10.2023;61815333;ik eduregion ru;3;2;154,46
03.10.2023;61815333;lk eduregion ru;10;2;62,86
03.10.2023;61815333;lk eduregion ru личный кабинет;3;2;113,13
03.10.2023;97238484;курсы логопеда;3;2;215,17
03.10.2023;91399044;логопед профпереподготовка;3;2;184,73
03.10.2023;88370062;обучение на логопеда;7;2;385,65
03.10.2023;91399039;переподготовка на логопеда;8;2;242,29
03.10.2023;91399044;профпереподготовка;18;2;169,87
04.10.2023;61815333;lk eduregion ru;9;2;95,1
05.10.2023;91209716;курсы по логопедии;2;2;252,44
05.10.2023;91399039;переподготовка на логопеда дистанционно;2;2;238,82
05.10.2023;88370062;учеба на логопеда;3;2;485,21
06.10.2023;88370062;елабуга университет логопед;3;2;73,76
08.10.2023;61815333;lk eduregion ru;3;2;37,5
08.10.2023;88370062;курсы учитель логопед;2;2;186,1
09.10.2023;61815333;eduregion ru;3;2;132,35
09.10.2023;91399039;курсы логопеда;13;2;244,96
09.10.2023;91399039;курсы логопеда дистанционное обучение;3;2;130,1
09.10.2023;88370062;переквалификация на логопеда;2;2;218,19
10.10.2023;97238484;курсы логопеда;8;2;189,65
10.10.2023;97238484;курсы переобучения на логопеда;2;2;597,45
10.10.2023;91399039;курсы по логопедии;3;2;107,47
10.10.2023;91399039;обучение на логопеда дистанционно;1;2;486,94
11.10.2023;61815333;https eduregion ru;2;2;294,88
11.10.2023;61815333;lk eduregion ru личный кабинет;4;2;268,38
11.10.2023;91399039;курсы логопеда дистанционное обучение с сертификатом цена;3;2;208,15
11.10.2023;97238484;логопед дефектолог обучение;3;2;314,99
12.10.2023;61815333;lk eduregion ru;8;2;51,98
13.10.2023;61815333;lk eduregion ru login;3;2;116,54
13.10.2023;97238484;инфоурок переподготовка на логопеда;3;2;212,34
17.10.2023;61815333;https lk eduregion ru;3;2;63,15
17.10.2023;61815333;lk eduregion ru личный кабинет;6;2;118,95
17.10.2023;61815333;lk eduregion ru личный кабинет вход;2;2;94,35
19.10.2023;88370062;обучение на логопеда;7;2;211,63
19.10.2023;88370062;обучение на логопеда дистанционно;2;2;348,52
20.10.2023;88370062;обучение на логопеда;9;2;198,22
22.10.2023;88370062;обучение логопед;4;2;254,92
23.10.2023;88370062;курсы на логопеда дистанционно с дипломом;3;2;328,09
23.10.2023;88370062;перейти профпереподготовку на логопеда;5;2;164,48
24.10.2023;61815333;eduregion ru;2;2;243,54
24.10.2023;61815333;едурегион;2;2;72,13
24.10.2023;88370062;обучение логопед;7;2;166,98
25.10.2023;61815333;lk eduregion ru;3;2;49,78
30.10.2023;61815333;lk eduregion ru;2;2;70,72
31.10.2023;61815333;lk eduregion ru личный кабинет;5;2;96,86
01.10.2023;61815333;https lk eduregion ru login;1;1;26,18
01.10.2023;61815333;ik eduregion ru;2;1;88,86
01.10.2023;61815333;lk eduregion ru личный кабинет;1;1;43,75
01.10.2023;91399039;выучиться на логопеда;4;1;73,63
01.10.2023;91209716;где в волгограде пройти курсы логопедии;1;1;9,63
01.10.2023;88370062;где учиться на логопеда;2;1;128,03
01.10.2023;91209716;диплом логопед дефектолог получить;1;1;33,85
01.10.2023;91399044;дополнительное образование;1;1;187,56
01.10.2023;91209716;как отучиться на логопеда;2;1;9,11
01.10.2023;91209716;курс логопедический массаж екатеринбург;1;1;35,45
01.10.2023;91399044;курсы логопеда;6;1;52,18
01.10.2023;91209716;курсы логопеда в тольятти;1;1;56,15
01.10.2023;91399039;курсы логопеда дистанционное;1;1;190,34
01.10.2023;91399044;курсы логопеда дистанционное;1;1;151,6
01.10.2023;91209716;курсы логопеда дистанционное обучение с сертификатом цена;1;1;31,39
01.10.2023;97238484;курсы логопедии дистанционные;0;1;206,35
01.10.2023;97238484;курсы логопедического массажа екатеринбург очно;1;1;67,52
01.10.2023;91399039;курсы переподготовки логопеда;1;1;151,31
01.10.2023;91399044;курсы по логопедии;2;1;44,52
01.10.2023;91209716;логопед второе высшее екатеринбург;2;1;35,6
01.10.2023;91209716;логопед дефектолог воронеж обучение;1;1;86,21
01.10.2023;88370062;логопед диагност курсы;1;1;144,66
01.10.2023;91399039;логопед курсы;1;1;69,87
01.10.2023;88370062;логопед обучение дистанционно;3;1;121,25
01.10.2023;88370062;логопедические обучающие курсы онлайн;1;1;80,44
01.10.2023;97238484;логопедический миофасциальный массаж обучение;1;1;80,43
01.10.2023;88370062;логопедия курсы влг;3;1;135,4
01.10.2023;91209716;можно выучиться на логопеда если есть среднее специальное;1;1;12,15
01.10.2023;91209716;обучение ес логопеда дистанционное;1;1;44,73
01.10.2023;91209716;обучение логопед;1;1;56,42
01.10.2023;91209716;обучение логопедии в краснодаре;1;1;97,76
01.10.2023;91209716;обучение на логопеда в санкт петербурге на базе высшего;2;1;21,46
01.10.2023;91399039;обучение на логопеда дистанционно;2;1;42,45
01.10.2023;91399039;переквалификация логопед;2;1;87,25
01.10.2023;91209716;переквалификация на логопеда на базе высшего психологического образования;1;1;105,2
01.10.2023;91399044;переобучение на логопеда;2;1;63,39
01.10.2023;91209716;переподготовка логопед дефектолог дистанционно на базе высшего педагогического образования коиро;1;1;40,56
01.10.2023;88370062;переподготовка на логопеда;4;1;506,38
01.10.2023;91399039;переподготовка на логопеда;3;1;213,96
01.10.2023;88370062;переподготовка на логопеда дистанционно;1;1;118,79
01.10.2023;91209716;переподготовка на логопеда на базе высшего образования;3;1;34,21
