campaign,keyword,date,leads
61815333,eduregion ru,2023-10-11,1
61815333,eduregion ru,2023-10-16,1
61815333,https eduregion ru,2023-10-03,1
88370062,---autotargeting,2023-10-18,1
88370062,---autotargeting,2023-10-20,1
88370062,---autotargeting,2023-10-22,1
88370062,---autotargeting,2023-10-26,1
88370062,---autotargeting,2023-10-27,1
88370062,где учиться на логопеда,2023-10-11,1
88370062,где учиться на логопеда,2023-10-18,1
88370062,где учиться на логопеда,2023-10-19,1
88370062,каменный город логопед,2023-10-18,1
88370062,каменный город логопед,2023-10-22,1
88370062,курсы переподготовки логопед,2023-10-02,1
88370062,логопед заочное обучение,2023-10-04,1
88370062,логопед учеба,2023-10-18,1
88370062,учитель логопед переподготовка,2023-10-26,1
91209716,---autotargeting,2023-10-01,1
91209716,---autotargeting,2023-10-03,1
91209716,---autotargeting,2023-10-04,1
91209716,---autotargeting,2023-10-05,1
91209716,---autotargeting,2023-10-06,1
91209716,---autotargeting,2023-10-08,2
91209716,---autotargeting,2023-10-09,4
91209716,---autotargeting,2023-10-10,2
91209716,---autotargeting,2023-10-11,2
91209716,---autotargeting,2023-10-12,2
91209716,---autotargeting,2023-10-13,1
91209716,---autotargeting,2023-10-16,4
91209716,---autotargeting,2023-10-17,1
91209716,---autotargeting,2023-10-18,1
91209716,---autotargeting,2023-10-19,1
91209716,---autotargeting,2023-10-20,1
91209716,---autotargeting,2023-10-21,1
91209716,---autotargeting,2023-10-22,5
91209716,---autotargeting,2023-10-23,2
91209716,---autotargeting,2023-10-24,2
91209716,---autotargeting,2023-10-26,1
91209716,---autotargeting,2023-10-28,4
91209716,---autotargeting,2023-10-29,1
91209716,---autotargeting,2023-10-30,2
91209716,---autotargeting,2023-10-31,3
91209716,клинический логопед обучение,2023-10-13,1
91209716,курсы логопеда,2023-10-03,2
91209716,курсы логопеда дистанционное обучение,2023-10-16,1
91209716,курсы по логопедии,2023-10-30,1
91209716,логопед курсы обучение,2023-10-10,1
91209716,логопед курсы обучение,2023-10-14,1
91209716,логопед обучение дистанционно,2023-10-01,2
91209716,логопед обучение дистанционно,2023-10-09,1
91209716,логопед обучение дистанционно,2023-10-21,1
91209716,логопед переподготовка,2023-10-03,1
91209716,логопед переподготовка,2023-10-10,1
91209716,логопед переподготовка,2023-10-15,1
91209716,логопед переподготовка,2023-10-17,2
91209716,логопед переподготовка,2023-10-19,1
91209716,логопед переподготовка,2023-10-23,1
91209716,логопед переподготовка,2023-10-26,2
91209716,логопед переподготовка,2023-10-27,1
91209716,логопед переподготовка,2023-10-28,2
91209716,логопед переподготовка,2023-10-30,1
91209716,логопед переподготовка,2023-10-31,1
91209716,логопед университет,2023-10-31,1
91209716,логопедия обучение,2023-10-06,2
91209716,логопедия обучение,2023-10-26,1
91209716,логопедия университет,2023-10-13,1
91209716,логопедия университет,2023-10-30,1
91209716,обучение логопед,2023-10-10,1
91209716,обучение логопед,2023-10-12,2
91209716,обучение логопед,2023-10-13,1
91209716,обучение логопед,2023-10-16,1
91209716,обучение логопед,2023-10-18,2
91209716,обучение логопед,2023-10-20,1
91209716,обучение логопед,2023-10-21,1
91209716,обучение логопед,2023-10-24,1
91209716,обучение логопед,2023-10-28,1
91209716,обучение логопед,2023-10-29,1
91209716,переподготовка логопедия дистанционно,2023-10-25,1
91209716,переподготовка на логопеда дистанционно,2023-10-30,1
91209716,переподготовка на логопеда на базе высшего образования,2023-10-26,1
91209716,переподготовка учитель логопед дистанционно,2023-10-19,1
91209716,пройти курсы логопеда,2023-10-29,1
91209716,профессия логопед обучение,2023-10-17,1
91209716,профессия логопед обучение,2023-10-18,1
91209716,учитель логопед курсы,2023-10-20,1
91209716,учитель логопед обучение,2023-10-30,1
91209716,учитель логопед переподготовка,2023-10-05,1
91209716,учитель логопед переподготовка,2023-10-19,1
91209716,учитель логопед переподготовка,2023-10-30,1
91209716,,2023-10-05,2
91209716,,2023-10-06,2
91209716,,2023-10-07,1
91209716,,2023-10-08,1
91209716,,2023-10-09,2
91209716,,2023-10-10,3
91209716,,2023-10-11,2
91209716,,2023-10-12,4
91209716,,2023-10-13,1
91209716,,2023-10-17,1
91209716,,2023-10-19,4
91209716,,2023-10-24,2
91209716,,2023-10-26,1
91209716,,2023-10-27,2
91209716,,2023-10-28,1
91209716,,2023-10-29,1
91209716,,2023-10-30,5
91209716,,2023-10-31,2
91399039,---autotargeting,2023-10-02,3
91399039,---autotargeting,2023-10-03,1
91399039,---autotargeting,2023-10-08,2
91399039,---autotargeting,2023-10-09,2
91399039,---autotargeting,2023-10-10,1
97238484,---autotargeting,2023-10-01,1
97238484,---autotargeting,2023-10-02,1
97238484,---autotargeting,2023-10-03,2
97238484,---autotargeting,2023-10-04,1
97238484,---autotargeting,2023-10-05,1
97238484,---autotargeting,2023-10-08,1
97238484,---autotargeting,2023-10-10,1
97238484,---autotargeting,2023-10-13,1
97238484,---autotargeting,2023-10-16,1
97238484,---autotargeting,2023-10-31,5
97238484,где учиться на логопеда,2023-10-10,1
97238484,где учиться на логопеда,2023-10-17,1
97238484,курсы логопеда,2023-10-02,1
97238484,курсы логопеда,2023-10-10,2
97238484,курсы логопеда,2023-10-17,1
97238484,курсы переподготовки логопед,2023-10-11,2
97238484,логопед обучение дистанционно,2023-10-10,1
97238484,логопед переподготовка,2023-10-02,1
97238484,логопед переподготовка,2023-10-03,2
97238484,логопед переподготовка,2023-10-07,1
97238484,логопед переподготовка,2023-10-09,1
97238484,логопед переподготовка,2023-10-14,1
97238484,логопед учеба,2023-10-01,1
97238484,логопедия обучение,2023-10-05,2
97238484,логопедия обучение,2023-10-12,1
97238484,логопедия переподготовка,2023-10-04,1
97238484,логопедия переподготовка,2023-10-12,1
97238484,логопедия переподготовка,2023-10-17,1
97238484,логопедия университет,2023-10-17,1
97238484,обучение логопед,2023-10-09,2
97238484,обучение логопед,2023-10-11,1
97238484,обучение логопедов с нуля,2023-10-02,1
97238484,переподготовка на логопеда дистанционно,2023-10-02,1
97238484,переподготовка на логопеда дистанционно,2023-10-10,1
97238484,учитель логопед обучение,2023-10-31,1
97238484,учитель логопед переподготовка,2023-10-02,1
97238484,учитель логопед переподготовка,2023-10-03,3
97238484,учитель логопед переподготовка,2023-10-18,1
Мастер / Пермь,---autotargeting,2023-10-09,2
Синергия / 2023 / Бренд / Поиск,синергия образование,2023-10-22,1
Синергия / 2023 / Бренд / Поиск,синергия пермь,2023-10-31,1
Синергия / 2023 / Поиск,заочно после 9 класса пермь,2023-10-17,1
Синергия 2022 / Бренд / Поиск,синергия пермь официальный сайт,2023-10-09,1
