campaign,keyword,date,sales,revenue
61815333,eduregion ru,2023-10-17,1,2880.00
88370062,где учиться на логопеда,2023-10-02,1,41156.71
88370062,где учиться на логопеда,2023-10-25,1,16039.66
88370062,каменный город логопед,2023-10-20,1,13650.00
88370062,логопед заочное обучение,2023-10-16,1,18200.00
91209716,---autotargeting,2023-10-06,1,17915.78
91209716,---autotargeting,2023-10-09,1,41958.69
91209716,---autotargeting,2023-10-11,1,7900.00
91209716,---autotargeting,2023-10-17,1,42038.01
91209716,---autotargeting,2023-10-18,1,16380.00
91209716,---autotargeting,2023-10-23,1,13633.71
91209716,логопед обучение дистанционно,2023-10-03,1,43100.00
91209716,логопед обучение дистанционно,2023-10-04,1,17017.00
91209716,логопедия обучение,2023-10-11,1,47700.00
91209716,переподготовка на логопеда дистанционно,2023-10-31,1,13650.00
91209716,учитель логопед переподготовка,2023-10-20,1,46620.77
91209716,,2023-10-27,1,3735.00
