Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «каменный город курсы» по регионам, 13.10.2023 — 13.11.2023, все устройства
Санкт-Петербург;23;0,0000039;16,999;
Иваново;7;0,0000194;83,352;
Кострома;2;0,0000077;33,275;
Курск;2;0,0000041;17,959;
Липецк;15;0,0000316;135,250;
Рязань;10;0,0000173;74,055;
Ярославль;1;0,0000017;7,374;
Петрозаводск;12;0,0000505;216,136;
Сыктывкар;4;0,0000182;78,267;
Архангельск;4;0,0000139;59,731;
Вологда;7;0,0000213;91,375;
Мурманск;12;0,0000489;209,608;
Великий Новгород;1;0,0000045;19,404;
Псков;1;0,0000055;23,547;
Краснодар;5;0,0000037;15,949;
Волгоград;1;0,0000011;5,064;
Ростов-на-Дону;4;0,0000029;12,529;
Йошкар-Ола;2;0,0000098;41,936;
Ижевск;3;0,0000054;23,457;
Киров;4;0,0000079;34,171;
Нижний Новгород;39;0,0000215;92,044;
Оренбург;9;0,0000161;69,231;
Пермь;174;0,0001889;808,545;
Самара;4;0,0000034;14,782;
Курган;7;0,0000293;125,486;
Екатеринбург;52;0,0000266;113,925;
Тюмень;32;0,0000395;169,241;
Челябинск;20;0,0000174;74,750;
Ханты-Мансийск;10;0,0000897;383,869;
Салехард;9;0,0001684;720,905;
Красноярск;22;0,0000195;83,790;
Иркутск;16;0,0000256;109,844;
Кемерово;2;0,0000044;18,863;
Новосибирск;22;0,0000120;51,686;
Омск;2;0,0000022;9,490;
Томск;26;0,0000660;282,640;
Чита;7;0,0000227;97,193;
Якутск;10;0,0000484;207,343;
Владивосток;4;0,0000086;36,830;
Магадан;4;0,0000799;342,087;
Южно-Сахалинск;11;0,0000861;368,710;
Симферополь;1;0,0000023;10,227;
Уфа;6;0,0000054;23,428;
Брянск;6;0,0000134;57,384;
Воронеж;17;0,0000148;63,562;
Саратов;1;0,0000011;5,044;
Ульяновск;1;0,0000019;8,385;
Барнаул;1;0,0000016;7,234;
Улан-Удэ;9;0,0000317;135,817;
Москва;54;0,0000035;15,060;
Пущино;1;0,0000706;302,096;
Магнитогорск;21;0,0000792;339,006;
Новокузнецк;30;0,0000874;374,098;
Сочи;2;0,0000040;17,388;
Череповец;5;0,0000201;86,188;
Выборг;3;0,0000533;228,407;
Новороссийск;1;0,0000051;22,029;
Дзержинск (Нижегородская область);5;0,0000295;126,610;
Сургут;10;0,0000322;138,122;
Находка;1;0,0000161;69,188;
Братск;5;0,0000370;158,464;
Египет;3;0,0001233;527,941;
Нижневартовск;11;0,0000617;264,133;
Абакан;1;0,0000065;27,862;
Грозный;1;0,0000084;36,317;
Анапа;5;0,0000417;178,751;
Тбилиси;6;0,0001200;513,735;
Губкин;1;0,0000178;76,317;
Старый Оскол;3;0,0000168;72,310;
Кинешма;2;0,0000405;173,381;
Шуя;2;0,0000577;247,125;
Балашиха;1;0,0000019;8,281;
Бронницы;4;0,0002018;863,797;
Домодедово;3;0,0000182;78,098;
Луховицы;1;0,0000399;170,832;
Люберцы;1;0,0000035;15,089;
Одинцово;2;0,0000098;41,992;
Орехово-Зуево;3;0,0000349;149,375;
Подольск;5;0,0000160;68,485;
Пушкино;1;0,0000077;33,332;
Химки;1;0,0000029;12,836;
Касимов;3;0,0001566;670,279;
Бологое;1;0,0000824;352,801;
Новомосковск;2;0,0000209;89,749;
Углич;2;0,0000919;393,413;
Котлас;2;0,0000487;208,805;
Северодвинск;3;0,0000239;102,481;
Мончегорск;6;0,0002084;891,806;
Боровичи;1;0,0000287;122,893;
Валдай;2;0,0002229;953,903;
Старая Русса;3;0,0001659;709,963;
Сортавала;3;0,0002444;1 046,017;
Воркута;7;0,0002111;903,630;
Печора;16;0,0007631;3 265,408;
Ухта;4;0,0000608;260,335;
Урюпинск;1;0,0000453;193,844;
Армавир;4;0,0000438;187,626;
Азов;6;0,0001131;484,106;
Белая Калитва;1;0,0000436;186,839;
Волгодонск;1;0,0000093;40,046;
Ессентуки;1;0,0000155;66,508;
Пятигорск;3;0,0000311;133,131;
Павлово;9;0,0002293;981,438;
Бузулук;1;0,0000141;60,504;
Гай;1;0,0000487;208,504;
Соликамск;4;0,0000777;332,887;
Стерлитамак;2;0,0000121;52,136;
Нижнекамск;5;0,0000356;152,714;
Балашов;2;0,0000480;205,525;
Сарапул;1;0,0000206;88,194;
Димитровград;5;0,0000597;255,614;
Асбест;11;0,0002708;1 158,786;
Верхняя Салда;3;0,0001218;521,278;
Каменск-Уральский;36;0,0003213;1 374,846;
Краснотурьинск;8;0,0002569;1 099,326;
Кушва;4;0,0002457;1 051,549;
Лесной;15;0,0005529;2 365,978;
Нижний Тагил;30;0,0001344;575,289;
Нижняя Тура;4;0,0003001;1 284,463;
Новоуральск;4;0,0000879;376,134;
Первоуральск;12;0,0001405;601,272;
Серов;5;0,0001088;465,758;
Ишим;1;0,0000252;108,105;
Тобольск;8;0,0001078;461,307;
Югорск;3;0,0001098;470,235;
Когалым;9;0,0002482;1 062,407;
Лангепас;1;0,0000476;203,987;
Мегион;9;0,0003316;1 418,891;
Нефтеюганск;4;0,0000556;238,052;
Нягань;5;0,0001292;553,104;
Пыть-Ях;3;0,0001335;571,535;
Златоуст;2;0,0000235;100,922;
Миасс;3;0,0000299;128,094;
Озёрск;9;0,0002043;874,414;
Сатка;5;0,0001897;811,893;
Чебаркуль;6;0,0002452;1 049,403;
Южноуральск;4;0,0001718;735,202;
Губкинский;3;0,0001495;639,779;
Новый Уренгой;10;0,0001099;470,523;
Ноябрьск;5;0,0000839;359,207;
Ангарск;5;0,0000382;163,748;
Нижнеудинск;1;0,0000566;242,512;
Тайшет;1;0,0000500;214,264;
Усть-Илимск;4;0,0000987;422,524;
Анжеро-Судженск;1;0,0000244;104,784;
Белово;1;0,0000229;98,091;
Ленинск-Кузнецкий;3;0,0000580;248,575;
Междуреченск;2;0,0000340;145,553;
Прокопьевск;1;0,0000106;45,683;
Ачинск;5;0,0000743;318,295;
Минусинск;1;0,0000216;92,787;
Норильск;12;0,0001250;534,950;
Бердск;1;0,0000129;55,537;
Стрежевой;2;0,0000987;422,427;
Уссурийск;4;0,0000504;216,009;
Нерюнгри;9;0,0002651;1 134,697;
Комсомольск-на-Амуре;3;0,0000262;112,529;
Керчь;5;0,0000604;258,750;
Кстово;14;0,0002401;1 027,705;
Железногорск;4;0,0000822;352,025;
Зеленогорск;7;0,0002333;998,582;
Усть-Кут;3;0,0000911;390,045;
Барабинск;1;0,0000563;241,035;
Новодвинск;3;0,0001636;700,266;
Невельск;6;0,0013926;5 959,012;
Ревда;14;0,0003550;1 519,342;
Качканар;11;0,0005252;2 247,497;
Березники;23;0,0002843;1 216,814;
Чайковский;19;0,0003653;1 563,470;
Лысьва;3;0,0000763;326,507;
Белорецк;3;0,0000765;327,713;
Жуковский;2;0,0000210;89,859;
Белоярский;4;0,0004915;2 103,258;
Невьянск;2;0,0001391;595,307;
Североуральск;7;0,0004348;1 860,693;
Реж;4;0,0002010;860,324;
Красноуфимск;10;0,0003973;1 700,147;
Верхняя Пышма;4;0,0000661;283,227;
Волжск;1;0,0000356;152,551;
Королёв;1;0,0000044;19,181;
Каргасок;2;0,0003110;1 330,999;
Полевской;2;0,0000495;211,943;
Молодечно;2;0,0000771;330,116;
Берёзовский (Свердловская область);6;0,0001168;499,813;
