Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «каменный город отзывы» по регионам, 13.10.2023 — 13.11.2023, все устройства
Санкт-Петербург;12;0,00000207;90,14;
Кострома;1;0,00000388;169,09;
Липецк;1;0,00000210;91,64;
Ярославль;1;0,00000172;74,94;
Петрозаводск;2;0,00000841;366,12;
Вологда;2;0,00000610;265,34;
Калининград;1;0,00000262;113,95;
Псков;1;0,00000550;239,32;
Йошкар-Ола;1;0,00000490;213,11;
Казань;2;0,00000170;74,09;
Киров;2;0,00000399;173,65;
Оренбург;2;0,00000359;156,36;
Пермь;29;0,00003149;1 369,61;
Самара;2;0,00000172;75,12;
Екатеринбург;12;0,00000614;267,20;
Челябинск;1;0,00000087;37,98;
Омск;1;0,00000110;48,22;
Благовещенск;3;0,00001861;809,39;
Южно-Сахалинск;1;0,00000783;340,67;
Воронеж;1;0,00000087;38,00;
Саратов;4;0,00000471;205,08;
Барнаул;1;0,00000169;73,52;
Улан-Удэ;2;0,00000705;306,75;
Москва;53;0,00000345;150,23;
Зеленоград;2;0,00001884;819,70;
Пущино;2;0,00014120;6 140,74;
Магнитогорск;2;0,00000754;328,14;
Тольятти;1;0,00000216;94,24;
Обнинск;2;0,00001862;810,07;
Череповец;1;0,00000402;175,19;
Муром;2;0,00002516;1 094,52;
Балашиха;3;0,00000580;252,52;
Домодедово;2;0,00001216;529,17;
Клин;4;0,00006057;2 634,51;
Одинцово;2;0,00000981;426,79;
Бологое;1;0,00008245;3 585,72;
Новомосковск;1;0,00001048;456,09;
Рыбинск;1;0,00000768;334,04;
Углич;2;0,00009194;3 998,48;
Армавир;3;0,00003288;1 430,21;
Георгиевск;1;0,00003353;1 458,43;
Стерлитамак;1;0,00000609;264,94;
Глазов;1;0,00001730;752,71;
Сарапул;1;0,00002061;896,37;
Каменск-Уральский;1;0,00000892;388,14;
Нижний Тагил;4;0,00001792;779,59;
Серов;1;0,00002177;946,75;
Нефтеюганск;2;0,00002781;1 209,73;
Чебаркуль;2;0,00008175;3 555,22;
Новый Уренгой;2;0,00002199;956,43;
Минусинск;1;0,00002168;943,05;
Горно-Алтайск;4;0,00007335;3 190,17;
Кстово;1;0,00001715;746,08;
Лысьва;1;0,00002543;1 106,16;
