Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «каменный город курсы» по регионам, 13.10.2023 — 13.11.2023, все устройства
Москва и область;84;0,00000354;15,151;
Центр;274;0,00000728;31,187;
Северо-Запад;230;0,00001988;85,084;
Юг;41;0,00000448;19,193;
Поволжье;654;0,00003324;142,246;
Урал;814;0,00009042;386,899;
Сибирь;475;0,00004259;182,277;
Дальний Восток;190;0,00004789;204,914;
Китай;1;0,00001770;75,777;
Беларусь;2;0,00000070;3,013;
СНГ (исключая Россию);3;0,00000048;2,062;
Грузия;6;0,00007046;301,490;
Узбекистан;1;0,00000192;8,255;
Азия;7;0,00000867;37,135;
Россия;2 684;0,00002549;109,097;
Африка;3;0,00006430;275,142;
Республика Крым;6;0,00000370;15,865;
Санкт-Петербург и Ленинградская область;30;0,00000413;17,673;
Белгородская область;5;0,00000453;19,416;
Брянская область;7;0,00000866;37,094;
Владимирская область;1;0,00000089;3,848;
Воронежская область;23;0,00001289;55,197;
Ивановская область;23;0,00003570;152,776;
Калужская область;5;0,00000622;26,651;
Костромская область;13;0,00003079;131,776;
Курская область;2;0,00000248;10,646;
Липецкая область;69;0,00008526;364,850;
Рязанская область;26;0,00003004;128,561;
Тверская область;3;0,00000341;14,592;
Тульская область;4;0,00000372;15,931;
Ярославская область;9;0,00000907;38,813;
Архангельская область;25;0,00003764;161,078;
Вологодская область;30;0,00003647;156,066;
Мурманская область;38;0,00007416;317,334;
Новгородская область;11;0,00002754;117,846;
Псковская область;1;0,00000259;11,092;
Республика Карелия;26;0,00006582;281,655;
Республика Коми;67;0,00013266;567,644;
Волгоградская область;2;0,00000129;5,532;
Краснодарский край;26;0,00000676;28,966;
Республика Адыгея;1;0,00000464;19,883;
Кабардино-Балкарская Республика;1;0,00000343;14,678;
Чеченская Республика;1;0,00000472;20,201;
Ростовская область;12;0,00000410;17,549;
Ставропольский край;4;0,00000283;12,111;
Кировская область;5;0,00000634;27,135;
Республика Марий Эл;6;0,00001704;72,928;
Нижегородская область;110;0,00003658;156,524;
Оренбургская область;50;0,00004206;179,987;
Пензенская область;3;0,00000350;15,004;
Пермский край;387;0,00023335;998,472;
Республика Башкортостан;45;0,00001784;76,335;
Республика Татарстан;7;0,00000276;11,843;
Самарская область;11;0,00000481;20,606;
Саратовская область;6;0,00000384;16,439;
Удмуртская Республика;18;0,00001918;82,094;
Ульяновская область;6;0,00000785;33,614;
Курганская область;14;0,00003207;137,249;
Свердловская область;525;0,00014695;628,817;
Тюменская область;61;0,00005169;221,216;
Ханты-Мансийский автономный округ - Югра;71;0,00006513;278,683;
Челябинская область;86;0,00003672;157,138;
Ямало-Ненецкий автономный округ;57;0,00014944;639,469;
Алтайский край;28;0,00002133;91,274;
Иркутская область;73;0,00004824;206,438;
Кемеровская область (Кузбасс);48;0,00003116;133,356;
Красноярский край;145;0,00007242;309,898;
Новосибирская область;83;0,00003372;144,284;
Омская область;2;0,00000171;7,343;
Республика Бурятия;14;0,00003082;131,910;
Республика Хакасия;2;0,00000661;28,294;
Томская область;94;0,00015435;660,464;
Амурская область;5;0,00001374;58,798;
Камчатский край;1;0,00000639;27,381;
Магаданская область;8;0,00011912;509,710;
Приморский край;36;0,00003792;162,283;
Республика Саха (Якутия);48;0,00011554;494,385;
Сахалинская область;37;0,00015307;654,972;
Хабаровский край;3;0,00000436;18,678;
Пушкинский район;1;0,00000921;39,414;
Забайкальский край;38;0,00006905;295,464;
Минск и область;2;0,00000180;7,708;
Луховицы (городской округ);1;0,00002424;103,724;
Люберцы (городской округ);3;0,00000723;30,948;
Одинцовский район;2;0,00000418;17,917;
Пушкинский район;2;0,00000622;26,640;
Всеволожский район;1;0,00000188;8,054;
Выборгский район;3;0,00002487;106,457;
Кингисеппский район;1;0,00001764;75,492;
Тосненский район;1;0,00001057;45,230;
Яковлевский район;1;0,00002557;109,411;
Александровский район;1;0,00001191;50,983;
Бологовский район;1;0,00006142;262,838;
Угличский район;2;0,00007889;337,591;
Боровичский район;4;0,00010091;431,783;
Валдайский район;2;0,00022293;953,903;
Старорусский район;3;0,00014129;604,589;
Сегежский район;1;0,00005631;240,943;
Район Печора;16;0,00066989;2 866,378;
Славянский район;1;0,00001835;78,547;
Белокалитвинский район;1;0,00002690;115,112;
Кстовский район;17;0,00014663;627,443;
Павловский район;13;0,00022196;949,744;
Белорецкий район;6;0,00011624;497,394;
Туймазинский район;1;0,00001423;60,913;
Балашовский район;2;0,00004044;173,055;
Саткинский район;5;0,00012841;549,467;
Нижнеудинский район;1;0,00004051;173,370;
Тайшетский район;2;0,00006283;268,875;
Усть-Кутский район;5;0,00013743;588,065;
Барабинский район;1;0,00005633;241,035;
Каргасокский район;2;0,00031106;1 330,999;
Нерюнгринский район;10;0,00024564;1 051,075;
Молодечненский район;2;0,00007218;308,885;
Северный Кавказ;6;0,00000189;8,102;
Наманганская область;1;0,00007243;309,922;
Чайковский район;26;0,00043028;1 841,115;
Сортавальский район;3;0,00018365;785,826;
