Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «каменный город отзывы» по регионам, 13.10.2023 — 13.11.2023, все устройства
Москва и область;71;0,00000299;130,15;
Центр;91;0,00000242;105,27;
Северо-Запад;31;0,00000268;116,55;
Юг;8;0,00000087;38,06;
Поволжье;77;0,00000391;170,21;
Урал;36;0,00000399;173,90;
Сибирь;15;0,00000134;58,50;
Дальний Восток;7;0,00000176;76,72;
Германия;1;0,00000589;256,32;
Европа;1;0,00000106;46,29;
Россия;267;0,00000253;110,30;
Санкт-Петербург и Ленинградская область;12;0,00000165;71,85;
Республика Алтай;4;0,00003299;1 434,89;
Владимирская область;2;0,00000179;78,23;
Воронежская область;3;0,00000168;73,17;
Калужская область;2;0,00000249;108,35;
Костромская область;3;0,00000710;309,07;
Липецкая область;4;0,00000494;214,96;
Тверская область;1;0,00000113;49,43;
Тульская область;1;0,00000093;40,48;
Ярославская область;4;0,00000403;175,32;
Архангельская область;1;0,00000150;65,48;
Вологодская область;4;0,00000486;211,49;
Калининградская область;1;0,00000169;73,63;
Мурманская область;6;0,00001171;509,25;
Новгородская область;1;0,00000250;108,88;
Псковская область;3;0,00000777;338,21;
Республика Карелия;2;0,00000506;220,20;
Республика Коми;1;0,00000198;86,10;
Краснодарский край;3;0,00000078;33,96;
Республика Ингушетия;1;0,00001147;498,86;
Ростовская область;5;0,00000170;74,31;
Ставропольский край;1;0,00000070;30,77;
Кировская область;4;0,00000507;220,63;
Республика Марий Эл;1;0,00000284;123,53;
Нижегородская область;7;0,00000232;101,23;
Оренбургская область;4;0,00000336;146,34;
Пермский край;41;0,00002472;1 075,11;
Республика Башкортостан;3;0,00000118;51,72;
Республика Татарстан;6;0,00000237;103,17;
Самарская область;3;0,00000131;57,11;
Саратовская область;4;0,00000256;111,38;
Удмуртская Республика;3;0,00000319;139,06;
Чувашская Республика;1;0,00000130;56,71;
Курганская область;3;0,00000687;298,91;
Свердловская область;20;0,00000559;243,46;
Тюменская область;1;0,00000084;36,85;
Ханты-Мансийский автономный округ - Югра;2;0,00000183;79,78;
Челябинская область;7;0,00000298;129,99;
Ямало-Ненецкий автономный округ;3;0,00000786;342,06;
Алтайский край;1;0,00000076;33,13;
Кемеровская область (Кузбасс);1;0,00000064;28,23;
Красноярский край;2;0,00000099;43,44;
Новосибирская область;6;0,00000243;106,00;
Омская область;1;0,00000085;37,32;
Республика Бурятия;2;0,00000440;191,52;
Амурская область;3;0,00000824;358,56;
Приморский край;1;0,00000105;45,81;
Сахалинская область;1;0,00000413;179,91;
Клин (городской округ);4;0,00003788;1 647,55;
Одинцовский район;2;0,00000418;182,10;
Пушкинский район;3;0,00000933;406,13;
Бологовский район;1;0,00006142;2 671,37;
Угличский район;2;0,00007889;3 431,13;
Кстовский район;2;0,00001725;750,24;
Северный Кавказ;2;0,00000063;27,45;
